Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0999999998495454,0.0999999997435601,0.100563741294394,0,0,0,1.83164580022402,0.00451242425491746,-4.04889599747396E-07,-3.58891616812139E-11,0.00451201173117407,8.33413847580154E-12,0.00749594833897759,0,0,0,0,0,0,package://assem1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1/meshes/base_link.STL,,link1-1,Global_Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link2,-0.0234828470711057,-0.00026782558030336,0.0624286025870315,0,0,0,0.695485500213679,0.00211431761193132,-1.54053931135612E-05,-6.56206336325025E-10,0.00286293446012588,3.40873220941103E-11,0.00481019569685756,0,0,0,0,0,0,package://assem1/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1/meshes/Link2.STL,,link2-1,J1_2CS,J1_2,J1_2,continuous,0.0999999999999977,0.0999999999999998,0.205599999999997,0,0,0,base_link,0,0,1,10,10.472,-3.1416,3.1416,,,,,,,,
Link3,0.197206387944491,0.00405737413664353,0.0106900677085636,0,0,0,0.639692693479154,0.000431830934040933,-0.000190392125116023,-0.000150632354345625,0.00968181571836648,-3.09914824886896E-06,0.00970271663487744,0,0,0,0,0,0,package://assem1/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1/meshes/Link3.STL,,link3-1,J2_3CS,J2_3,J2_3,continuous,-0.000999788417450992,-2.056990432589E-05,0.118618413952435,0,0,0,Link2,0.0205699003770725,-0.999788417215601,0,10,7.854,-3.1416,3.1416,,,,,,,,
Link4,0.184522144428308,0.00396440942316634,0.00998639522222328,0,0,0,0.635403008611192,0.000304214957339384,-0.000181949566412251,-0.00024090325661346,0.00914402759440461,-4.95640432983052E-06,0.0090210281863331,0,0,0,0,0,0,package://assem1/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1/meshes/Link4.STL,,link4-1,J3_4CS,J3_4,J3_4,continuous,0.399862639768076,0.00822687532973126,0.0064952167025687,0,0,0,Link3,0.0205699003770683,-0.999788417215601,0,10,7.854,-3.1416,3.1416,,,,,,,,
Link5,0.0223978133053748,0.000460817599175239,0.000326207354451491,0,0,0,0.289468359944892,0.000426362303345464,1.77685242966172E-07,-4.63826034943052E-07,0.000417729667973413,-9.54287443858263E-09,0.000330199258296266,0,0,0,0,0,0,package://assem1/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1/meshes/Link5.STL,,link5-1,J4_5CS,J4_5,J4_5,continuous,0.399763028875263,0.00822482657368523,0.0110396092460652,0,0,0,Link4,0.0205699003770722,-0.999788417215601,0,10,7.854,-3.1416,3.1416,,,,,,,,
Link6,0.0561150388840469,0.00115456081818446,-0.000275488471492669,0,0,0,0.958627849549052,0.00401143665080073,4.72538626542361E-05,-3.93877344669833E-06,0.00171873093473961,1.29144733015966E-05,0.0032642416103781,0,0,0,0,0,0,package://assem1/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1/meshes/Link6.STL,,link6-1,J5_6CS,J5_6,J5_6,continuous,0.0699871313685321,0.00143993232123923,0.000222120674477078,0,0,0,Link5,0.999776374297933,0.0205696526030298,-0.00490823669655173,10,7.854,-3.1416,3.1416,,,,,,,,
Link7,0.072923853261845,-0.00693173749205717,-0.000286189006703186,0,0,0,0.157213073820731,0.000121665380990655,-0.000127419694012581,2.15850814848671E-06,0.000276806703521897,1.2170684147821E-06,0.000349107279951106,0,0,0,0,0,0,package://assem1/meshes/Link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1/meshes/Link7.STL,,link7-1,J6_7CS,J6_7,J6_7,prismatic,0.0837705179568461,-0.0608271566270217,0.000120457782329664,0,0,0,Link6,0.020610399712281,-0.999752287738378,0.00840086814443912,10,1,-0.01,0.01,,,,,,,,
Link8,0.0736179061070061,0.00931469465745011,-0.000427563486490812,0,0,0,0.159934521793084,0.000115584645862197,0.00012587891032655,9.06680737834785E-08,0.00029670627349042,-4.76775580052443E-08,0.000361094942793926,0,0,0,0,0,0,package://assem1/meshes/Link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1/meshes/Link8.STL,,link8-1,J6_8CS,J6_8,J6_8,prismatic,0.0817094779856183,0.0391480721468161,-0.0007196290321142,0,0,0,Link6,0.0206103997122731,-0.999752287738378,0.00840086814443968,10,1,-0.01,0.01,,,,,,,,
