Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0999999998495453,0.0999999997435603,0.100563741294394,0,0,0,1.83164580022402,0.00451242425491746,-4.04889599747416E-07,-3.58891616771079E-11,0.00451201173117407,8.33413847422387E-12,0.00749594833897759,0,0,0,0,0,0,package://maniac/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maniac/meshes/base_link.STL,,link1-1,Global_Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link2,-0.0234828470711057,-0.000267825580303277,0.0624286025870314,0,0,0,0.695485500213679,0.00211431761193132,-1.54053931135612E-05,-6.56206336325071E-10,0.00286293446012588,3.40873220940618E-11,0.00481019569685756,0,0,0,0,0,0,package://maniac/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maniac/meshes/Link2.STL,,link2-1,J1_2CS,J1_2,J1_2,continuous,0.1,0.1,0.2056,0,0,0,base_link,0,0,1,10,10.472,-3.1416,3.1416,,,,,,,,
Link3,-0.188745654388743,-0.0578947289229432,0.0544093521407645,0,0,0,0.639692693479154,0.00133041398138768,-0.000171904449677716,0.00274755845279583,0.00968219608848823,5.65289642098336E-05,0.00880375321740898,0,0,0,0,0,0,package://maniac/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maniac/meshes/Link3.STL,,link3-1,J2_3CS,J2_3,J2_3,continuous,-0.0021106,0.053968,0.11862,0,0,0,Link2,0.02057,-0.99979,0,10,7.854,-3.1416,3.1416,,,,,,,,
Link4,0.182864027488787,-0.0460802864731238,0.0329305969859989,0,0,0,0.635403008590466,0.000499462825423093,-0.000177932487310486,-0.00131246585380149,0.00914411024280753,-2.7003004982803E-05,0.00882569766984265,0,0,0,0,0,0,package://maniac/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maniac/meshes/Link4.STL,,link4-1,J3_4CS,J3_4,J3_4,continuous,-0.37991,-0.011817,0.12467,0,0,0,Link3,0.02057,-0.99979,0,10,7.854,-3.1416,3.1416,,,,,,,,
Link5,0.0232206093204578,-0.0395307190894488,0.000326207354451769,0,0,0,0.289468359944892,0.000426362303345464,1.77685242966266E-07,-4.63826034943167E-07,0.000417729667973413,-9.54287443856347E-09,0.000330199258296266,0,0,0,0,0,0,package://maniac/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maniac/meshes/Link5.STL,,link5-1,J4_5CS,J4_5,J4_5,continuous,0.39547,-0.0018656,0.06083,0,0,0,Link4,0.02057,-0.99979,0,10,7.854,-3.1416,3.1416,,,,,,,,
Link6,0.056115038884047,0.0011545608181846,-0.00027548847149228,0,0,0,0.958627849549053,0.00401143665080074,4.7253862654233E-05,-3.93877344669869E-06,0.00171873093473961,1.29144733015996E-05,0.00326424161037811,0,0,0,0,0,0,package://maniac/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maniac/meshes/Link6.STL,,link6-1,J5_6CS,J5_6,J5_6,continuous,0.07081,-0.038552,0.00022212,0,0,0,Link5,0.99978,0.02057,-0.0049082,10,7.854,-3.1416,3.1416,,,,,,,,
Link7,0.072923853261845,-0.00693173749205717,-0.000286189006702853,0,0,0,0.157213073820731,0.000121665380990655,-0.000127419694012581,2.15850814848662E-06,0.000276806703521896,1.21706841478204E-06,0.000349107279951104,0,0,0,0,0,0,package://maniac/meshes/Link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maniac/meshes/Link7.STL,,link7-1,J6_7CS,J6_7,J6_7,prismatic,0.083742,-0.059449,0.00010888,0,0,0,Link6,0.02061,-0.99975,0.0084009,10,1,-0.01,0.01,,,,,,,,
Link8,0.0736179061070061,0.00931469465745002,-0.000427563486490423,0,0,0,0.159934521793084,0.000115584645862197,0.00012587891032655,9.0668073783545E-08,0.00029670627349042,-4.76775580053056E-08,0.000361094942793925,0,0,0,0,0,0,package://maniac/meshes/Link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maniac/meshes/Link8.STL,,link8-1,J6_8CS,J6_8,J6_8,prismatic,0.081681,0.040526,-0.00073121,0,0,0,Link6,0.02061,-0.99975,0.0084009,10,1,-0.01,0.01,,,,,,,,
